CNES - Estabelecimentos por Tipo - Ceará
Quantidade por Município e Tipo de Estabelecimento
Macrorregião de Saúde: 2309 SOBRAL
Período:Mai/2025
"Município";"POSTO DE SAUDE";"CENTRO DE SAUDE/UNIDADE BASICA";"POLICLINICA";"HOSPITAL GERAL";"HOSPITAL ESPECIALIZADO";"UNIDADE MISTA";"CONSULTORIO ISOLADO";"CLINICA/CENTRO DE ESPECIALIDADE";"UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO)";"UNIDADE MOVEL TERRESTRE";"UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA";"FARMACIA";"UNIDADE DE VIGILANCIA EM SAUDE";"CENTRO DE PARTO NORMAL - ISOLADO";"CENTRAL DE GESTAO EM SAUDE";"CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA";"CENTRO DE ATENCAO PSICOSSOCIAL";"CENTRO DE APOIO A SAUDE DA FAMILIA";"UNIDADE DE ATENCAO A SAUDE INDIGENA";"PRONTO ATENDIMENTO";"POLO ACADEMIA DA SAUDE";"CENTRAL DE REGULACAO MEDICA DAS URGENCIAS";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"LABORATORIO DE SAUDE PUBLICA";"CENTRAL DE REGULACAO DO ACESSO";"CENTRAL DE NOTIFICACAO,CAPTACAO E DISTRIB DE ORGAOS ESTADUAL";"POLO DE PREVENCAO DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"CENTRAL DE ABASTECIMENTO";"CENTRO DE IMUNIZACAO";"Total"
"230410 CRATEUS";2;33;4;2;-;-;21;26;5;1;4;4;2;-;2;-;1;1;1;1;1;-;2;-;1;-;-;1;-;115
"230423 CROATA";-;10;-;1;-;-;2;2;4;-;1;1;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;25
"230425 CRUZ";-;13;-;1;-;-;18;10;2;-;-;1;-;-;1;-;1;-;-;1;2;-;-;-;-;-;-;-;-;50
"230435 FORQUILHA";-;9;-;-;-;-;1;4;-;-;1;-;1;1;1;-;1;1;-;-;2;-;-;1;-;-;-;1;-;24
"230450 FRECHEIRINHA";2;5;-;1;-;-;-;5;-;-;-;1;-;-;1;-;1;-;-;1;1;-;-;-;1;-;-;1;-;20
"230465 GRACA";2;7;-;-;-;-;1;2;-;-;1;1;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;17
"230470 GRANJA";-;16;-;1;-;-;1;13;2;-;1;-;-;-;1;-;2;-;-;1;-;-;-;-;1;-;-;1;-;40
"230490 GROAIRAS";8;1;-;1;-;-;3;2;-;-;-;-;-;-;1;-;-;3;-;-;-;-;-;-;-;-;-;1;-;20
"230500 GUARACIABA DO NORTE";6;17;2;1;-;-;6;14;2;-;1;9;-;-;1;-;1;-;-;1;1;-;1;-;-;-;-;1;-;64
"230520 HIDROLANDIA";-;8;1;1;-;-;-;-;3;-;1;1;1;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;20
"230530 IBIAPINA";4;12;-;1;-;-;4;5;3;1;-;2;-;-;1;-;1;-;-;1;1;-;-;-;1;-;-;-;-;37
"230560 INDEPENDENCIA";9;10;-;1;-;-;3;3;1;1;1;-;-;-;1;-;1;1;-;1;1;-;-;-;-;-;-;1;-;35
"230565 IPAPORANGA";1;6;-;1;-;-;-;2;-;-;-;-;1;-;1;-;1;-;-;1;1;-;-;-;-;-;-;1;-;16
"230580 IPU";-;19;-;5;-;-;6;3;5;-;2;1;-;-;1;-;2;1;-;-;1;-;-;-;1;-;-;1;-;48
"230590 IPUEIRAS";11;4;1;2;-;-;-;8;2;-;1;1;-;-;1;-;1;1;-;1;1;-;-;-;-;-;-;-;-;35
"230610 IRAUCUBA";-;9;-;1;-;-;-;3;3;-;1;-;1;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;23
"230655 ITAREMA";1;14;1;1;-;-;-;7;4;-;1;2;-;-;1;-;1;-;2;1;1;-;-;-;-;-;-;1;-;38
"230725 JIJOCA DE JERICOACOARA";7;8;-;1;-;-;-;4;2;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;1;-;27
"230780 MARCO";-;10;-;1;-;-;2;4;-;-;1;-;1;-;1;-;1;1;-;-;-;-;-;1;1;-;-;1;-;25
"230790 MARTINOPOLE";-;6;-;1;-;-;1;4;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"230800 MASSAPE";-;12;-;1;-;-;1;3;2;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;1;-;-;2;-;26
"230820 MERUOCA";2;7;-;1;-;-;3;2;-;-;-;1;1;-;1;-;-;-;-;1;1;-;-;-;-;-;1;-;-;21
"230860 MONSENHOR TABOSA";-;8;-;1;-;-;-;1;2;-;-;-;1;-;1;-;1;-;3;1;1;-;-;-;-;-;-;1;-;21
"230880 MORAUJO";1;4;-;1;-;-;-;3;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"230890 MORRINHOS";-;8;-;1;-;-;-;1;1;-;1;1;-;-;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;17
"230900 MUCAMBO";1;5;-;1;-;-;-;4;-;-;-;-;-;-;1;-;1;-;-;-;1;-;-;1;-;-;-;1;-;16
"230930 NOVA RUSSAS";15;1;1;1;-;-;3;6;-;-;-;1;-;-;1;-;2;-;-;1;-;-;-;1;1;-;-;-;-;34
"230940 NOVO ORIENTE";2;13;-;1;-;-;2;3;1;1;1;-;-;-;1;-;2;1;1;1;1;-;-;-;-;-;-;1;-;32
"230990 PACUJA";-;4;-;-;-;-;-;2;3;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"231095 PIRES FERREIRA";5;-;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;-;-;1;1;-;-;-;-;-;-;1;-;12
"231100 PORANGA";4;2;-;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;1;-;12
"231126 QUITERIANOPOLIS";-;11;-;1;-;-;8;3;1;1;-;-;-;-;2;-;1;15;1;1;5;-;-;-;1;-;-;1;-;52
"231170 RERIUTABA";-;8;1;1;-;-;-;1;2;-;1;2;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;1;-;21
"231200 SANTANA DO ACARAU";-;12;-;1;-;-;1;6;1;-;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;2;-;27
"231220 SANTA QUITERIA";-;13;-;1;-;-;-;4;5;-;2;2;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;30
"231230 SAO BENEDITO";1;19;-;2;-;-;23;22;6;-;2;18;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;1;-;98
"231280 SENADOR SA";-;5;-;1;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;11
"231290 SOBRAL";3;39;6;4;1;-;110;190;15;2;4;34;2;-;3;1;3;-;-;2;2;1;-;-;2;1;1;2;1;429
"231320 TAMBORIL";-;13;-;1;-;-;1;-;-;-;1;1;-;-;1;-;3;-;1;1;-;-;-;2;-;-;-;-;-;25
"231340 TIANGUA";5;29;3;1;-;-;4;30;9;-;3;3;-;-;2;-;3;-;-;1;-;-;-;-;1;-;-;1;-;95
"231360 UBAJARA";1;17;-;1;-;-;4;7;2;-;1;2;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;38
"231390 URUOCA";-;8;-;1;-;-;1;4;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;17
"231395 VARJOTA";-;7;-;-;-;1;1;5;3;-;-;-;1;-;2;-;1;-;-;-;-;2;-;-;-;-;-;1;1;25
"231410 VICOSA DO CEARA";3;17;-;1;-;-;2;9;3;1;1;2;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;43
"Total";112;598;24;58;2;2;265;489;110;9;45;105;17;1;63;1;54;31;12;33;39;3;3;6;19;2;2;40;2;2147
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
